GPA_S1,Age_group,LAB_AVG,CLIN_AVG,Study_hrs_day,Sleep_hrs,Adequate supervision,Self-motivates,Programme prepares for career,Financial_diff,CA_AVG,Takes rest breaks,Concentration in self-study,Manages time effectively,Persists when difficult,Physical health affected,Lecturers approachable,Self_risk_percep,ATT_RATE,Sleep affects concentration,Peer study groups effective,Seeks help when stuck,EXAM_AVG,Hopeless/unmotivated,Sense of belonging,Gender,Completes readings,Burnt out,Clinical takes study time,Can improve performance,Health interferes studies,Employment_hrs,Takes organised notes,Early intervention provided,Participates in clubs,Confident in clinical skills,Anxious about assessments,Regular exercise,Confident to complete prog,Understands content pre-exam,Uses library regularly,Prepared for clinical assess,Considered break,Sleep difficulty,Reviews notes within 24h,Rotations affect performance,ASSIGN_LATE
2.92,3,0.71,0.79,2,1,3,3,5,2,0.7,2,3,1,3,4,5,1,0.7,3,3,3,0.94,3,1,1,3,2,5,4,3,1,3,3,3,4,5,4,3,5,5,2,2,2,5,3,1
3.11,3,1.0,0.65,3,5,1,5,3,4,0.9,5,3,2,1,5,5,2,0.89,5,3,4,0.69,4,4,1,1,2,3,1,3,0,4,4,4,3,4,2,3,1,3,4,5,5,3,3,2
3.13,2,0.94,0.93,3,3,2,1,3,1,0.79,3,1,3,4,2,2,1,0.79,3,1,5,0.79,4,1,1,3,2,3,3,3,0,4,4,5,4,4,4,2,4,3,4,2,1,4,2,0
3.38,1,0.6,1.0,3,0,3,2,2,1,0.72,4,3,3,3,2,3,1,0.78,1,3,5,0.69,5,3,1,1,2,2,1,2,0,3,3,5,4,2,5,4,2,3,2,1,1,1,3,2
3.74,3,0.68,0.7,3,5,2,3,3,1,0.78,5,3,3,3,4,2,3,0.79,5,3,3,0.8,5,3,1,3,4,3,3,5,0,3,4,4,2,5,1,3,3,3,2,4,4,3,3,1
3.19,2,0.95,0.69,2,3,4,3,3,2,0.79,5,4,1,3,2,4,2,0.73,3,4,2,0.69,3,1,0,2,2,3,5,2,0,2,2,2,4,4,2,5,5,2,4,5,3,3,4,1
2.64,1,0.88,0.7,3,1,4,3,3,1,0.9,3,2,3,5,3,4,3,0.9,3,2,1,0.96,1,4,1,2,5,3,4,2,1,5,5,1,3,1,1,3,3,4,2,3,3,4,4,0
3.33,0,0.81,0.8,2,4,3,3,5,3,0.87,2,3,4,4,4,1,1,0.9,3,4,2,0.8,4,3,0,2,3,3,5,2,0,2,4,4,2,3,3,5,2,2,3,4,4,3,3,1
3.31,3,0.73,0.89,2,1,1,2,5,2,0.96,2,1,4,3,2,2,0,0.7,2,1,3,0.79,5,1,0,5,1,5,3,3,0,3,3,3,3,5,3,5,3,5,4,3,1,2,4,1
2.56,2,0.9,0.89,3,1,5,5,5,0,0.8,3,4,1,2,1,3,0,0.55,1,4,1,0.69,3,2,1,3,1,5,3,1,0,4,4,1,3,4,4,3,4,5,4,3,2,3,4,2
3.17,2,1.0,0.79,2,1,1,1,3,1,0.89,4,4,3,2,3,3,1,0.79,1,4,3,0.64,2,4,0,3,4,3,3,4,1,4,4,3,3,4,4,2,4,5,4,3,2,5,4,2
2.78,4,0.94,0.68,2,1,2,3,5,0,1.0,3,1,1,1,1,1,0,1.0,5,1,5,0.93,4,2,1,1,3,5,3,5,2,3,3,5,4,3,4,3,4,2,3,5,1,3,2,2
2.43,2,0.86,0.8,3,5,3,1,2,1,0.93,1,1,2,3,1,3,0,1.0,5,1,3,1.0,2,4,0,2,3,2,3,4,0,3,3,3,2,1,3,3,2,2,1,5,5,4,5,2
